Reviews,Sentiment
Phoenix to Accra via London. I had a great Customer service treatment at the check in at Phoenix by the young lady who checked me in. She was very professional and handled my check in process excellently. My entire trip was great and I really was treated very well also on my final leg to Accra by the BA staff in London as well. Just want to appreciate this gesture of professionalism by the staff.,Positive
 Manchester to London. The bag drop process took an hour even though I had checked in already. The staff offered little apology  explaining that there was a big group ahead and they could do nothing about this. Staff on the flight were clumsy and rude  one attendant dropped a water bottle on my shoulder and offered the merest apology. Another flight attendant didnt bother to ask customers in the last rows if they wanted refreshments. Not exactly best of British  and Ill certainly not be recommending,Negative
 San Diego to Hannover via London. I booked on ba.com  the longer flights both ways in premium economy.  On the return I was informed at San Diego that the American Airlines flight into DFW was severely delayed and I would miss my flight into London. American Airlines could book me on a later flight the same day  but had only  coach available. If I insisted on premier economy I could fly in 3 days. I took the coach and American assured my that BA would refund the fare difference for this downgrade. After arrival at home I contacted BA on their website to refund the fare difference. A bizarre exchange followed. First they said you did not buy any upgraded seat. I told them to look at the ticket. You cant get a refund because the economy class seat was much more expensive that the booked premium economy seat. I contacted BA Germany who said you get a refund  but you booked this with a travel agent  so we are not in charge.  I booked with BA on their website. They saidthey would send this to London so they can compute the refund  but then you cant get a refund because your seat was much more expensive than the premium seat you booked months in advance. The change in booking was the sole fault of the delayed American Airlines flight. This is miserable customer service.,Positive
 London Heathrow to Stuttgart. Absolutely disgusted with BA. my husband was asked to put his one piece of hand luggage in the hold due to the flight being busy and he agreed. BA had one job to do  put it in the hold and make sure it arrives in Stuttgart. This has proven too difficult. The bag is lost and they have not offered any assistance or support.,Negative
 London to Johannesburg. Turning right to the first wing at T5 was a new experience for us. It was all pretty slick  although the guy at checkin wasnt exactly Mr Convivial. The Concorde Room was impressive  too  particularly the terrace with its quirky interior design  overlooking the main concourse. Boarding involved lining up according to group. This smacked a bit of lowcost airlines  but I guess thats necessary with all the passengers on a doubledecker plane. The first cabin on the A380 is definitely more spacious than on a 747 and the suites also had more room and extra storage space. The dividers seemed higher  too  giving better privacy. The fact that the cabin was only half full was another bonus. Cabin crew were friendly  attentive and thoroughly professional. Food was good  too  and demonstrated that airline food can be of restaurant quality if the cabin crew use reheating facilities properly. The wines on offer were a good selection  including the fabulous LPGS  and we enjoyed some wine tasting. Sleep quality was considerably better than Club World  although the cabin temperature was a little high. Overall  an excellent flight that fully met the brief of first class travel.,Positive
 Having booked BA Business Class and paid extra for the seat selection on the Boeing 787  I was disappointed to have the flight rescheduled. I rejected BAs offer of flying on Belgian Air and had to change my flight to get a different BA aircraft. When I booked in the window seat selections had been lost. My husband and I were forced to sit separately. At the booking in I was told that they could not find proof that I had paid for selected seats. I could not prove the payment because the booking number had changed with the new flights. Spooning with a stranger in the centre isle was not the trip I planned. On the return flight again  sitting apart from my husband my TV did not work. The staff could not have been nicer  but could not find an alternative seat. On return  BA customer complaints offered a 400 voucher on my next flight. Despite sending two detailed messages  I received the same response. Completely inadequate service by BA not the flight attendants in delivering the flights I paid for and dealing with the complaints.,Negative
 Vancouver to London Heathrow. I chose to fly with them because I had been told they were good for families and as I was traveling with my 8 month old alone this was what I needed. The booking process was not smooth and very stressful  I have to call customer service multiple times and they need to improve their customer service call center. The 2 flights were great though  the staff both on the ground and in the air were very helpful and did everything they could to ensure I was doing ok. The crew came around often with drinks and the food was ok I was first given a cot for my baby. I originally wanted a one of the Britax seats they have but was talked out it saying my baby would be more comfortable in the cot  nope He was too big and could not lie straight so I asked for it to be switched out and he was asleep with 15 minutes. All the toilets in economy were out of order at least 3 hours before we reached our destination so everyone had to used the business class toilets  Im sure that was annoying for the people seated there and lines were constant.,Positive
 Boston to Nairobi via London. The only good thing was the new and clean looking plane for the first leg of the trip from Boston to Heathrow. The cabin crew service was below standard. I had a window seat and twice I was passed up and not offered anything to eatdrink while everyone around me was  simply because I was watching a movie. I  noticed that if you didnt have eye contact with the attendant you were not offered anything. Airplane food is not exactly gourmet but BA food was so bland even the little I ate was only because I was hungry. The connecting flight from Heathrow to Nairobi was  worse because the plane was the  opposite of the one from Boston to Heathrow. It looked beat up and lacked even the basics like a USB port. Cabin crew service on this leg was  below standard. Im probably to blame because I overrated BA before flying with them but now I know better.,Positive
 Basel to San Fransisco via Heathrow. Im convinced the quality has dropped considerably in the past several years. I booked World Traveller Plus or Premium Economy which costs appr. twice as much as economy. The flight to SFO was ok seat wise as the plane was an A380 and I has reserved an aisle seat. The food was disgusting for me  during the flight we were given a box with several pieces of junk food and shortly before landing given a piece of pizza. The choice of food leaves a lot to be desired. There were cold drinks offered regularly and you can go to the bulkhead to get extra if needed. We were offered maybe two hot drinks during the 12 hours on the plane longer due to a delay leaving the UK. The flight back to the UK was worse since it was a Boeing 747 with the older bulkier seats. You couldnt even get to the remote control hidden in the inside of the seat and Im not big. The recliner didnt work properly and the general space around the seat is cramped as the person next to me spilled over to my seat. I feel sorry for larger people. The food was just as bland and poor and barely any warm drinks. The staff seem challenged with certain situations. Next time Im off to the US I will look for an alternative airline.,Negative
 London to Lyon. The flight has 1h 30 delay for a flight duration of 130. Ground staff forced me to checkin my suitcase during boarding process due to lack of space in the plane and I got my suitcase damaged with 2 big cuts on the back. Then the customer service has been very useless. Such a very bad experience. I do not recommend flying with them.,Negative
